Rank,Country,Cigarette consumption per year per person[9]
1,Andorra,6398.3
2,Luxembourg,6330.9
3,Belarus,2911.3
4,Hong Kong,2910.9[citation needed]
5,North Macedonia,2784.9
6,Albania,2491.6
7,Belgium,2440.9
8,Czech Republic,2427.9
9,Jordan,2306.1
10,Russia,2295.0
11,Syria,2291.7
12,Slovenia,2236.5
13,Greece,2078.6
14,Hungary,2060.3
15,China,2043.0
16,Lebanon,2037.5
17,Armenia,1985.7
18,Mongolia,1982.5
19,Cyprus,1961.4
20,Austria,1927.0
21,Georgia,1917.7
22,Serbia,1898.6
23,Ukraine,1849.4
24,Kazakhstan,1800.9
25,Turkey,1770.7
26,Bosnia and Herzegovina,1767.2
27,Estonia,1759.9
28,Bulgaria,1757.3
29,Moldova,1747.2
30,Papua New Guinea,1689.3
31,Indonesia,1675.5
32,South Korea,1667.4
33,Germany,1599.5
34,Japan,1583.2
35,Tunisia,1580.0
36,Croatia,1578.9
37,Malta,1527.9
38,Azerbaijan,1525.6
39,Slovakia,1500.9
40,Spain,1499.0
41,Italy,1493.3
42,Switzerland,1489.8
43,Samoa,1470.6
44,Netherlands,1459.9
45,Egypt,1449.4
46,Solomon Islands,1419.1
47,Kuwait,1412.7
48,Kiribati,1396.0
49,Poland,1363.1
50,Saudi Arabia,1341.0
51,Denmark,1298.0
52,Lithuania,1292.0
53,Israel,1280.7
54,Romania,1204.3
55,Latvia,1189.1
56,Iraq,1184.4
57,Argentina,1176.1
58,Portugal,1133.4
59,Philippines,1132.2
60,Bahrain,1101.5
61,Montenegro,1100.8
62,Finland,1098.8
63,France,1089.9
64,Vanuatu,1069.2
65,Vietnam,1049.6
66,Algeria,1046.7
67,Canada,1021.3
68,Qatar,1020.3
69,United States,1016.6
70,North Korea,993.3
71,Tonga,986.9
72,Ireland,976.5
73,Turkmenistan,962.1
74,Iran,936.5
75,Australia,917.0
76,Uruguay,899.4
77,Singapore,851.2
78,Iceland,848.1
79,Thailand,837.4
80,United Kingdom,827.7
81,Laos,814.6
82,Djibouti,785.5
83,Chile,769.3
84,UAE,748.5
85,Bangladesh,744.1
86,Cambodia,726.2
87,Sweden,716.2
88,New Zealand,685.1
89,Trinidad and Tobago,682.5
90,Morocco,682.3
91,Comoros,585.4
92,Maldives,560.9
93,St. Lucia,553.9
94,Norway,552.8
95,Seychelles,543.6
96,Mauritius,542.5
97,Kyrgyzstan,519.6
98,Suriname,511.7
99,Nepal,511.6
100,South Africa,509.6
101,Mozambique,501.9
102,Uzbekistan,495.9
103,Fiji,491.1
104,Honduras,469.8
105,Sierra Leone,468.6
106,Gabon,451.2
107,Lesotho,448.0
108,Malaysia,441.2
109,Bahamas,438.6
110,Botswana,433.5
111,Yemen,423.8
112,Costa Rica,411.4
113,Burkina Faso,408.1
114,Madagascar,404.2
115,Cape Verde,397.1
116,Venezuela,396.2
117,Paraguay,384.5
118,South Sudan,383.7
119,Pakistan,363.2
120,Tajikistan,361.1
121,Senegal,359.4
122,Guyana,359.1
123,Ivory Coast,352.7
124,Colombia,351.4
125,Angola,340.2
126,Sudan,339.9
127,Brazil,333.5
128,Equatorial Guinea,328.2
129,Nicaragua,327.8
130,Libya,327.2
131,Mexico,327.1
132,Mali,316.9
133,Guinea,316.0
134,Jamaica,312.5
135,Afghanistan,311.6
136,Namibia,298.4
137,Bolivia,291.6
138,Chad,279.3
139,Barbados,277.5
140,Oman,271.1
141,Kenya,264.4
142,St. Vincent and the Grenadines,259.6
143,Sri Lanka,254.6
144,Gambia,249.1
145,Malawi,241.1
146,Burundi,239.4
147,Cuba,233.5
148,Myanmar,226.5
149,Panama,219.3
150,Dominican Republic,218.9
151,Central African Republic,213.2
152,El Salvador,206.7
153,Benin,204.0
154,Somalia,198.5
155,Uganda,195.7
156,Congo,195.2
157,Tanzania,181.8
158,Cameroon,171.0
159,Belize,168.6
160,Nigeria,162.5
161,Grenada,158.2
162,Liberia,154.4
163,Dominica,147.4
164,Togo,147.3
165,Zambia,145.4
166,Haiti,143.0
167,Eritrea,132.3
168,Democratic Republic of Congo,128.0
169,Zimbabwe,122.9
170,Niger,118.8
171,Ethiopia,115.3
172,Guatemala,111.8
173,Peru,97.7
174,Rwanda,94.0
175,Ecuador,93.5
176,Swaziland,91.7
177,India,89.3
178,Antigua and Barbuda,89.2
179,Ghana,40.5
180,Mauritania,30.3
181,Guinea-Bissau,25.3
182,Brunei,9.7
